Stat-Xplore,,,,,,,,
,,,,,,,,
Relative Low Income (I II III IV V VI),,,,,,,,
National - Regional - LA - OAs (GB) by Year,,,,,,,,
Counting: Relative Low Income,,,,,,,,
,,,,,,,,
Filters:,,,,,,,,
Default Summation,Relative Low Income,,,,,,,
,,,,,,,,
Year,2020/21,2020/21 - Annotations,2021/22,2021/22 - Annotations,2022/23,2022/23 - Annotations,2023/24,2023/24 - Annotations
National - Regional - LA - OAs (GB),,,,,,,,
Bromley 008C,32,,28,,40,,41,
Bromley 008D,42,,41,,35,,36,
Bromley 008E,24,,23,,38,,38,
Bromley 008F,52,,39,,41,,42,
Bromley 008G,37,,42,,56,,49,
Bromley 009A,54,,68,,93,,78,
Bromley 009B,94,,81,,95,,92,
Bromley 009C,114,,101,,116,,120,
Bromley 009D,63,,65,,69,,48,
Bromley 009E,81,,68,,80,,79,
Bromley 009F,90,,92,,96,,86,
Bromley 010A,14,,14,,17,,14,
Bromley 010B,18,,11,,14,,14,
Bromley 010C,70,,81,,74,,72,
Bromley 010D,50,,24,,61,,56,
Bromley 011A,24,,15,,39,,24,
Bromley 011B,19,,25,,33,,32,
Bromley 011C,10,,9,,9,,9,
Bromley 011D,9,,22,,23,,33,
Bromley 011E,17,,19,,17,,18,
Bromley 012A,23,,20,,11,,16,
Bromley 012B,13,,15,,19,,15,
Bromley 012C,17,,17,,11,,12,
Bromley 012D,16,,10,,16,,10,
Bromley 012E,15,,18,,13,,16,
Bromley 013A,32,,22,,33,,32,
Bromley 013B,28,,14,,27,,26,
Bromley 013C,23,,13,,22,,22,
Bromley 013D,35,,29,,27,,39,
Bromley 013E,15,,23,,25,,26,
Bromley 014A,114,,91,,126,,110,
Bromley 014B,112,,108,,130,,122,
Bromley 014C,126,,97,,120,,118,
Bromley 014D,54,,64,,57,,61,
Bromley 014E,95,,74,,114,,98,
Bromley 015A,58,,50,,60,,41,
Bromley 015B,36,,34,,31,,37,
Bromley 015C,20,,18,,18,,30,
Bromley 015D,58,,41,,55,,51,
Bromley 015E,42,,34,,40,,44,
Bromley 016A,36,,29,,21,,20,
Bromley 016B,27,,38,,41,,43,
Bromley 016C,25,,28,,26,,23,
Bromley 016D,11,,16,,11,,15,
Bromley 016E,20,,13,,13,,14,
Bromley 018A,15,,21,,18,,14,
Bromley 018B,44,,29,,40,,53,
Bromley 018C,31,,26,,30,,39,
Bromley 018D,36,,37,,30,,30,
Bromley 018E,22,,26,,18,,28,
Bromley 019A,126,,114,,120,,141,
Bromley 019B,135,,127,,138,,140,
Bromley 019C,91,,100,,99,,116,
Bromley 019D,134,,137,,157,,140,
Bromley 019E,68,,78,,54,,79,
Bromley 020A,15,,11,,10,,16,
Bromley 020B,46,,41,,30,,44,
Bromley 020C,27,,34,,27,,17,
Bromley 020D,25,,33,,37,,43,
Bromley 020E,39,,27,,27,,26,
Bromley 021A,8,,17,,14,,13,
Bromley 021B,15,,20,,16,,21,
Bromley 021C,6,,6,,8,,7,
Bromley 021D,26,,16,,22,,13,
Bromley 021E,15,,17,,18,,18,
Bromley 022A,22,,8,,9,,12,
Bromley 022B,17,,25,,21,,13,
Bromley 022C,21,,30,,31,,24,
Bromley 022D,10,,10,,13,,12,
Bromley 023A,94,,97,,104,,106,
Bromley 023B,52,,77,,79,,83,
Bromley 023C,80,,70,,68,,62,
Bromley 023D,35,,25,,32,,33,
Bromley 023E,53,,53,,65,,45,
Bromley 024A,31,,35,,27,,35,
Bromley 024B,15,,15,,18,,21,
Bromley 024C,34,,26,,30,,28,
Bromley 024D,18,,22,,31,,35,
Bromley 024E,41,,26,,21,,38,
Bromley 025A,29,,12,,8,,11,
Bromley 025B,14,,19,,11,,7,
Bromley 025C,21,,20,,23,,24,
Bromley 025D,23,,8,,12,,20,
Bromley 025E,5,,9,,..,,..,
Bromley 026A,128,,152,,151,,163,
Bromley 026B,73,,56,,62,,52,
Bromley 026C,35,,47,,62,,64,
Bromley 026D,52,,55,,63,,56,
Bromley 027A,13,,14,,18,,22,
Bromley 027B,34,,33,,44,,36,
Bromley 027C,18,,20,,23,,16,
Bromley 027D,29,,21,,12,,15,
Bromley 027E,17,,10,,14,,10,
Bromley 028A,56,,29,,48,,52,
Bromley 028B,43,,40,,40,,38,
Bromley 028C,39,,37,,47,,51,
Bromley 028D,5,,11,,14,,14,
Bromley 028E,16,,11,,22,,21,
Bromley 029A,34,,36,,22,,19,
Bromley 029B,29,,22,,33,,38,
Bromley 029C,50,,53,,70,,64,
Bromley 029D,48,,38,,52,,60,
Bromley 029E,34,,26,,27,,23,
Bromley 030A,19,,13,,9,,5,
Bromley 030B,23,,27,,33,,53,
Bromley 030C,13,,17,,8,,6,
Bromley 030D,40,,30,,32,,37,
Bromley 030E,13,,8,,6,,13,
Bromley 030F,12,,5,,12,,5,
Bromley 030G,14,,11,,13,,17,
Bromley 030H,22,,21,,27,,21,
Bromley 031A,29,,16,,30,,13,
Bromley 031B,33,,30,,24,,35,
Bromley 031C,7,,12,,23,,20,
Bromley 031D,18,,20,,23,,13,
Bromley 031E,15,,17,,13,,17,
Bromley 032A,19,,21,,19,,15,
Bromley 032B,165,,189,,224,,176,
Bromley 032C,36,,28,,51,,39,
Bromley 032D,8,,15,,8,,8,
Bromley 032E,76,,50,,61,,67,
Bromley 033A,57,,43,,46,,40,
Bromley 033B,31,,24,,36,,32,
Bromley 033C,11,,22,,14,,9,
Bromley 033D,19,,10,,17,,19,
Bromley 034A,38,,30,,28,,21,
Bromley 034B,34,,42,,35,,37,
Bromley 034C,25,,25,,20,,26,
Bromley 034D,33,,24,,22,,18,
Bromley 034E,32,,27,,34,,24,
Bromley 035A,9,,11,,16,,19,
Bromley 035B,20,,7,,17,,11,
Bromley 035C,30,,40,,31,,28,
Bromley 035D,14,,14,,17,,17,
Bromley 035E,15,,20,,18,,14,
Bromley 036A,29,,28,,25,,26,
Bromley 036B,58,,47,,60,,81,
Bromley 036C,26,,32,,36,,35,
Bromley 036D,33,,36,,31,,29,
Bromley 037A,21,,19,,23,,32,
Bromley 037B,33,,31,,21,,37,
Bromley 037C,22,,19,,24,,37,
Bromley 037D,14,,13,,16,,19,
Bromley 037E,24,,9,,13,,10,
Bromley 039A,46,,61,,41,,50,
Bromley 039B,38,,43,,30,,42,
Bromley 039C,37,,31,,22,,33,
Bromley 039D,59,,52,,64,,73,
Bromley 039E,31,,48,,45,,61,
Bromley 040A,50,,37,,59,,53,
Bromley 040B,29,,46,,34,,31,
Bromley 040C,73,,80,,86,,99,
Bromley 040D,96,,100,,107,,93,
Bromley 040E,30,,11,,31,,27,
Bromley 041A,24,,18,,13,,19,
Bromley 041B,35,,22,,31,,37,
Bromley 041C,13,,18,,11,,14,
Bromley 041D,28,,40,,33,,34,
Bromley 041E,62,,58,,49,,53,
Bromley 042A,16,,23,,35,,39,
Bromley 042B,96,,86,,84,,80,
Bromley 042C,37,,31,,22,,27,
Bromley 042D,28,,37,,35,,47,
Croydon 001A,51,,46,,57,,99,
Croydon 001B,23,,45,,54,,41,
Croydon 001C,81,,79,,94,,91,
Croydon 001D,60,,54,,91,,86,
Croydon 001E,66,,61,,56,,56,
Croydon 002A,37,,43,,41,,46,
Croydon 002B,74,,76,,81,,100,
Croydon 002C,51,,60,,54,,68,
Croydon 002D,88,,93,,94,,120,
Croydon 002E,45,,53,,49,,64,
Croydon 003A,45,,22,,32,,43,
Croydon 003B,39,,33,,33,,62,
Croydon 003C,127,,165,,175,,213,
Croydon 003D,127,,140,,132,,139,
Croydon 004A,38,,58,,57,,71,
Croydon 004B,92,,99,,100,,95,
Croydon 004C,108,,67,,114,,127,
Croydon 004D,135,,140,,140,,141,
Croydon 004E,56,,39,,53,,69,
Croydon 005A,84,,104,,117,,136,
Croydon 005B,76,,71,,54,,82,
Croydon 005C,129,,113,,126,,158,
Croydon 005D,120,,101,,109,,131,
Croydon 005E,37,,41,,45,,65,
Croydon 006A,58,,65,,55,,57,
Croydon 006B,72,,52,,67,,72,
Croydon 006C,50,,51,,53,,72,
Croydon 006D,48,,50,,56,,61,
Croydon 006E,77,,96,,114,,125,
Croydon 007A,66,,77,,79,,88,
Croydon 007B,24,,38,,33,,58,
Croydon 007C,50,,34,,64,,55,
Croydon 007D,50,,27,,54,,66,
Croydon 007E,80,,57,,72,,79,
Croydon 008A,53,,57,,72,,68,
Croydon 008B,89,,76,,83,,94,
Croydon 008C,142,,153,,184,,186,
Croydon 008D,78,,79,,104,,119,
Croydon 008E,75,,75,,83,,64,
Croydon 009A,76,,53,,81,,68,
Croydon 009B,71,,81,,110,,120,
Croydon 009C,51,,51,,48,,54,
Croydon 009D,54,,78,,82,,94,
Croydon 009E,43,,49,,63,,67,
Croydon 009F,90,,108,,87,,107,
Croydon 010A,57,,62,,87,,89,
Croydon 010B,56,,61,,69,,74,
Croydon 010C,72,,82,,94,,121,
Croydon 010D,57,,63,,69,,66,
Croydon 010E,96,,91,,107,,110,
Croydon 011A,80,,91,,118,,124,
Croydon 011B,72,,67,,86,,108,
Croydon 011C,110,,119,,137,,169,
Croydon 011D,65,,37,,56,,63,
Croydon 011E,110,,114,,121,,137,
Croydon 011F,59,,52,,59,,77,
Croydon 013A,95,,88,,109,,107,
Croydon 013B,127,,130,,141,,160,
Croydon 013C,90,,82,,111,,117,
Croydon 013D,78,,75,,90,,91,
Croydon 013E,65,,71,,99,,100,
Croydon 013F,60,,45,,75,,94,
Croydon 014A,89,,97,,115,,90,
Croydon 014B,54,,46,,77,,69,
Croydon 014C,58,,78,,88,,94,
Croydon 014D,88,,106,,132,,128,
Croydon 014E,75,,60,,96,,90,
Croydon 015A,95,,119,,126,,175,
Croydon 015B,112,,115,,115,,117,
Croydon 015C,121,,153,,187,,210,
Croydon 015D,120,,117,,166,,176,
Croydon 015E,107,,144,,165,,209,
Croydon 016A,64,,82,,107,,120,
Croydon 016B,112,,107,,124,,126,
Croydon 016C,90,,100,,109,,132,
Croydon 016D,66,,73,,93,,117,
Croydon 016E,89,,107,,116,,164,
Croydon 017A,44,,76,,80,,91,
Croydon 017B,42,,33,,62,,94,
Croydon 017C,54,,63,,39,,72,
Croydon 017D,32,,38,,39,,47,
Croydon 017E,80,,86,,111,,117,
Croydon 018A,47,,29,,40,,49,
Croydon 018B,26,,24,,37,,22,
Croydon 018C,40,,54,,53,,58,
Croydon 018D,27,,21,,33,,34,
Croydon 018E,45,,49,,44,,45,
Croydon 019A,67,,79,,88,,112,
Croydon 019B,115,,112,,96,,122,
Croydon 019C,85,,112,,125,,152,
Croydon 019D,130,,134,,158,,178,
Croydon 019E,107,,131,,159,,182,
Croydon 020A,130,,119,,144,,146,
Croydon 020B,148,,155,,171,,184,
Croydon 020C,97,,100,,152,,201,
Croydon 020D,75,,76,,104,,113,
Croydon 020E,100,,121,,158,,144,
Croydon 021A,34,,24,,16,,36,
Croydon 021B,25,,37,,37,,47,
Croydon 021C,21,,22,,26,,26,
Croydon 021D,53,,66,,82,,58,
Croydon 022A,54,,57,,84,,104,
Croydon 022B,78,,89,,87,,124,
Croydon 022C,51,,59,,63,,84,
Croydon 022D,33,,24,,36,,47,
Croydon 022E,38,,38,,68,,54,
Croydon 022F,70,,80,,95,,88,
Croydon 023A,11,,24,,43,,47,
Croydon 023B,24,,32,,27,,50,
Croydon 023C,9,,17,,17,,22,
Croydon 023D,19,,19,,32,,28,
Croydon 024A,144,,172,,200,,216,
Croydon 024B,114,,112,,123,,131,
Croydon 024C,68,,68,,67,,83,
Croydon 024D,112,,100,,157,,174,
Croydon 024E,29,,57,,43,,57,
Croydon 025A,23,,29,,30,,34,
Croydon 025B,146,,153,,153,,170,
Croydon 025C,209,,250,,248,,247,
Croydon 025D,39,,38,,41,,54,
Croydon 026A,51,,39,,25,,35,
Croydon 026B,21,,13,,19,,31,
Croydon 026C,26,,27,,14,,26,
Croydon 026D,25,,23,,22,,15,
Croydon 026E,21,,22,,31,,29,
Croydon 027A,35,,45,,76,,84,
Croydon 027B,161,,128,,168,,204,
Croydon 027C,64,,70,,78,,106,
Croydon 027D,31,,46,,54,,68,
Croydon 027E,77,,74,,85,,100,
Croydon 028A,58,,74,,106,,102,
Croydon 028B,83,,86,,81,,99,
Croydon 028C,59,,60,,82,,91,
Croydon 028D,177,,186,,224,,206,
Croydon 028E,88,,102,,130,,129,
Croydon 029A,13,,8,,13,,13,
Croydon 029B,39,,61,,60,,73,
Croydon 029C,43,,42,,46,,62,
Croydon 029D,21,,31,,17,,15,
Croydon 029E,56,,49,,47,,54,
Croydon 030A,141,,119,,133,,153,
Croydon 030B,118,,128,,112,,133,
Croydon 030C,146,,131,,193,,219,
Croydon 030D,169,,190,,236,,231,
Croydon 030E,192,,228,,238,,234,
Croydon 031A,44,,53,,64,,63,
Croydon 031B,37,,24,,31,,24,
Croydon 031C,67,,81,,96,,115,
Croydon 031D,47,,54,,53,,68,
Croydon 031E,19,,17,,26,,23,
Croydon 032A,108,,124,,114,,128,
Croydon 032B,62,,95,,108,,107,
Croydon 032C,23,,39,,49,,54,
Croydon 032D,91,,132,,150,,157,
Croydon 032E,95,,75,,99,,89,
Croydon 033A,20,,21,,30,,32,
Croydon 033B,33,,24,,35,,26,
Croydon 033C,22,,29,,20,,11,
Croydon 033D,22,,28,,28,,25,
Croydon 033E,36,,28,,37,,50,
Croydon 034A,23,,38,,34,,41,
Croydon 034B,52,,34,,46,,57,
Croydon 034C,71,,81,,69,,76,
Croydon 034D,47,,62,,72,,60,
Croydon 034E,28,,32,,23,,23,
Croydon 034F,108,,130,,131,,130,
Croydon 034G,31,,27,,33,,33,
Croydon 034H,24,,17,,21,,32,
Croydon 035A,13,,16,,9,,12,
Croydon 035B,17,,15,,15,,15,
Croydon 035C,19,,12,,22,,22,
Croydon 035D,19,,13,,24,,22,
Croydon 035E,18,,18,,18,,15,
Croydon 036A,99,,116,,137,,147,
Croydon 036B,111,,96,,124,,137,
Croydon 036C,118,,98,,115,,138,
Croydon 036D,55,,84,,91,,90,
Croydon 037A,25,,19,,28,,29,
Croydon 037B,57,,28,,47,,36,
Croydon 037C,50,,57,,58,,51,
Croydon 037D,16,,16,,23,,15,
Croydon 037E,76,,66,,83,,102,
Croydon 037F,24,,25,,14,,21,
Croydon 038A,11,,10,,10,,11,
Croydon 038B,26,,30,,34,,30,
Croydon 038C,21,,26,,25,,34,
Croydon 038D,17,,19,,18,,15,
Croydon 038E,6,,10,,24,,13,
Croydon 039A,24,,14,,21,,11,
Croydon 039B,40,,44,,46,,54,
Croydon 039C,43,,37,,43,,46,
Croydon 039D,11,,14,,27,,18,
Croydon 040A,13,,13,,15,,25,
Croydon 040B,67,,63,,57,,69,
Croydon 040C,45,,46,,40,,30,
Croydon 040D,49,,39,,46,,65,
Croydon 041A,30,,47,,70,,92,
Croydon 041B,40,,33,,33,,45,
Croydon 041C,57,,61,,88,,107,
Croydon 041D,17,,17,,16,,29,
Croydon 041E,76,,67,,58,,59,
Croydon 042A,48,,51,,46,,56,
Croydon 042B,51,,55,,50,,57,
Croydon 042C,10,,14,,15,,11,
Croydon 042D,32,,23,,19,,30,
Croydon 043A,14,,13,,16,,18,
Croydon 043B,23,,20,,32,,22,
Croydon 043C,9,,28,,28,,29,
Croydon 043D,39,,43,,45,,42,
Croydon 043E,63,,52,,40,,57,
Croydon 044A,9,,8,,6,,13,
Croydon 044B,13,,8,,11,,12,
Croydon 044C,34,,21,,29,,31,
Croydon 044D,79,,89,,92,,85,
Croydon 044E,11,,19,,14,,10,
Croydon 045A,106,,106,,87,,91,
Croydon 045B,22,,25,,35,,30,
Croydon 045C,53,,50,,50,,61,
Croydon 045D,72,,49,,47,,57,
Croydon 045E,136,,144,,161,,167,
Ealing 001A,96,,70,,80,,81,
Ealing 001B,91,,85,,105,,95,
Ealing 001C,85,,76,,84,,92,
Ealing 001D,68,,49,,50,,88,
Ealing 001E,129,,96,,104,,115,
Ealing 002A,70,,72,,76,,88,
Ealing 002B,32,,35,,46,,53,
Ealing 002C,81,,66,,62,,66,
Ealing 002D,63,,64,,68,,76,
Ealing 002E,57,,66,,57,,78,
Ealing 003A,55,,55,,50,,57,
Ealing 003B,99,,109,,104,,120,
Ealing 003C,110,,88,,119,,131,
Ealing 003D,125,,121,,142,,155,
Ealing 003E,141,,127,,131,,140,
Ealing 003F,104,,106,,122,,122,
Ealing 004A,48,,41,,52,,52,
Ealing 004B,55,,55,,81,,66,
Ealing 004C,113,,91,,105,,96,
Ealing 004D,82,,77,,77,,94,
Ealing 005A,66,,88,,89,,83,
Ealing 005B,70,,81,,98,,94,
Ealing 005C,61,,46,,61,,57,
Ealing 005D,103,,80,,96,,85,
Ealing 006A,60,,54,,79,,67,
Ealing 006B,44,,76,,66,,74,
Ealing 006C,102,,110,,107,,86,
Ealing 006D,73,,66,,68,,59,
Ealing 006E,84,,72,,90,,101,
Ealing 007A,84,,89,,103,,104,
Ealing 007B,69,,53,,68,,92,
Ealing 007C,57,,61,,67,,86,
Ealing 007D,72,,55,,44,,56,
Ealing 008A,189,,171,,172,,210,
Ealing 008B,75,,73,,111,,114,
Ealing 008C,93,,85,,109,,135,
Ealing 008D,109,,132,,155,,196,
Ealing 008E,108,,107,,92,,103,
Ealing 009A,114,,113,,109,,113,
Ealing 009B,119,,121,,120,,133,
Ealing 009C,124,,111,,133,,132,
Ealing 009D,102,,123,,134,,153,
Ealing 009E,172,,181,,209,,212,
Ealing 010B,60,,60,,63,,94,
Ealing 010C,106,,98,,87,,102,
Ealing 010D,100,,108,,118,,123,
Ealing 010E,113,,98,,93,,116,
Ealing 010F,169,,154,,160,,170,
Ealing 010G,72,,57,,75,,103,
Ealing 011A,62,,66,,62,,91,
Ealing 011B,63,,46,,60,,89,
Ealing 011C,59,,67,,68,,94,
Ealing 011D,28,,21,,28,,26,
Ealing 012A,92,,126,,141,,138,
Ealing 012B,48,,63,,54,,81,
Ealing 012C,72,,82,,90,,98,
Ealing 012D,80,,63,,80,,89,
Ealing 013A,7,,17,,12,,19,
Ealing 013B,15,,11,,11,,18,
Ealing 013C,7,,6,,11,,16,
Ealing 013D,9,,6,,15,,7,
Ealing 014A,49,,52,,63,,47,
Ealing 014B,42,,57,,54,,76,
Ealing 014C,58,,54,,72,,90,
Ealing 014D,46,,47,,59,,75,
Ealing 014E,98,,91,,76,,102,
Ealing 015A,61,,68,,80,,73,
Ealing 015B,62,,88,,122,,145,
Ealing 015C,69,,73,,80,,104,
Ealing 015D,97,,84,,82,,103,
Ealing 015E,79,,77,,94,,80,
Ealing 016A,140,,175,,181,,171,
Ealing 016B,73,,52,,74,,88,
Ealing 016C,48,,37,,53,,73,
Ealing 016D,76,,86,,80,,82,
Ealing 016E,71,,91,,56,,66,
Ealing 016F,103,,97,,108,,125,
Ealing 017A,90,,90,,109,,137,
Ealing 017B,69,,56,,71,,77,
Ealing 017C,63,,62,,87,,88,
Ealing 017D,101,,105,,108,,129,
Ealing 017E,77,,86,,94,,123,
Ealing 018A,42,,41,,34,,42,
Ealing 018B,102,,105,,125,,127,
Ealing 018C,119,,131,,149,,147,
Ealing 018D,10,,19,,12,,16,
Ealing 018E,12,,13,,17,,9,
Ealing 018F,15,,14,,15,,18,
Ealing 019A,49,,54,,54,,44,
Ealing 019B,..,,5,,12,,15,
Ealing 019C,..,,7,,24,,28,
Ealing 019D,11,,8,,10,,10,
Ealing 019E,20,,22,,25,,27,
Ealing 020A,14,,20,,41,,23,
Ealing 020B,18,,8,,9,,6,
Ealing 020C,25,,24,,35,,47,
Ealing 020D,29,,27,,22,,19,
Ealing 020E,32,,31,,30,,25,
Ealing 020F,14,,15,,25,,23,
Ealing 020G,9,,6,,10,,8,
Ealing 020H,19,,21,,32,,40,
Ealing 021A,28,,29,,25,,31,
Ealing 021B,42,,28,,35,,27,
Ealing 021C,24,,25,,19,,39,
Ealing 021D,63,,52,,54,,66,
Ealing 022A,38,,42,,46,,44,
Ealing 022B,63,,53,,44,,57,
Ealing 022C,32,,16,,28,,22,
Ealing 022D,48,,48,,54,,63,
Ealing 023A,124,,126,,133,,135,
Ealing 023B,46,,60,,78,,58,
Ealing 023C,111,,105,,135,,136,
Ealing 023D,63,,77,,86,,102,
Ealing 023E,100,,109,,121,,135,
Ealing 024A,73,,57,,68,,78,
Ealing 024B,57,,47,,47,,56,
Ealing 024C,34,,36,,45,,40,
Ealing 024D,85,,100,,107,,109,
Ealing 024E,136,,130,,133,,140,
Ealing 024F,27,,37,,45,,52,
Ealing 025A,25,,23,,39,,51,
Ealing 025B,23,,25,,14,,12,
Ealing 025C,114,,157,,170,,149,
Ealing 025D,46,,60,,78,,97,
Ealing 025E,57,,45,,39,,62,
Ealing 026A,139,,111,,117,,125,
Ealing 026B,95,,113,,126,,127,
Ealing 026C,119,,124,,168,,195,
Ealing 026D,118,,107,,129,,162,
Ealing 026E,136,,116,,133,,156,
Ealing 026F,109,,102,,138,,194,
Ealing 027A,19,,20,,26,,23,
Ealing 027B,9,,14,,20,,25,
Ealing 027C,14,,19,,20,,16,
Ealing 027D,23,,20,,23,,33,
Ealing 027E,35,,30,,26,,59,
Ealing 028A,103,,116,,121,,88,
Ealing 028B,82,,83,,94,,88,
Ealing 028C,20,,21,,31,,38,
Ealing 028D,23,,38,,21,,47,
Ealing 028E,44,,46,,45,,76,
Ealing 028F,46,,45,,54,,46,
Ealing 029A,167,,175,,176,,184,
Ealing 029B,132,,150,,141,,167,
Ealing 029C,146,,144,,149,,148,
Ealing 029D,64,,57,,72,,90,
Ealing 029E,74,,61,,97,,118,
Ealing 029F,131,,153,,176,,154,
Ealing 029G,84,,92,,122,,105,
Ealing 030A,38,,29,,35,,43,
Ealing 030B,61,,73,,78,,91,
Ealing 030C,55,,73,,89,,71,
Ealing 030D,43,,37,,42,,40,
Ealing 031A,55,,43,,52,,41,
Ealing 031B,10,,5,,12,,18,
Ealing 031C,52,,54,,55,,47,
Ealing 031D,56,,43,,50,,41,
Ealing 031E,5,,..,,5,,11,
Ealing 031F,17,,13,,11,,13,
Ealing 032A,10,,18,,16,,15,
Ealing 032B,6,,7,,11,,15,
Ealing 032C,34,,32,,34,,22,
Ealing 032D,10,,10,,15,,6,
Ealing 032E,13,,10,,8,,26,
Ealing 033A,54,,61,,56,,56,
Ealing 033B,51,,37,,48,,46,
Ealing 033C,185,,187,,157,,175,
Ealing 033D,65,,58,,74,,74,
Ealing 033E,112,,108,,126,,112,
Ealing 034A,17,,12,,11,,6,
Ealing 034B,6,,12,,10,,14,
Ealing 034C,7,,6,,12,,6,
Ealing 034D,31,,36,,45,,60,
Ealing 035A,40,,42,,42,,50,
Ealing 035B,26,,28,,25,,16,
Ealing 035C,19,,10,,9,,13,
Ealing 035D,19,,17,,16,,19,
Ealing 037A,84,,98,,115,,144,
Ealing 037B,143,,113,,131,,156,
Ealing 037C,62,,54,,79,,108,
Ealing 037D,122,,80,,75,,116,
Ealing 037E,122,,114,,138,,184,
Ealing 037F,100,,114,,139,,173,
Ealing 037G,86,,117,,132,,95,
Ealing 038A,177,,145,,157,,213,
Ealing 038B,57,,48,,61,,69,
Ealing 038C,66,,39,,56,,83,
Ealing 038D,98,,77,,100,,106,
Ealing 039A,12,,10,,7,,5,
Ealing 039B,34,,24,,32,,38,
Ealing 039C,15,,17,,22,,27,
Ealing 039D,32,,15,,20,,27,
Ealing 040A,38,,29,,24,,26,
Ealing 040B,40,,38,,30,,46,
Ealing 040C,20,,14,,14,,16,
Ealing 040D,17,,24,,30,,22,
Enfield 001A,64,,69,,88,,126,
Enfield 001B,78,,104,,104,,125,
Enfield 001C,81,,94,,114,,126,
Enfield 001D,92,,60,,83,,99,
Enfield 002A,112,,133,,161,,171,
Enfield 002B,142,,157,,149,,173,
Enfield 002C,107,,95,,99,,114,
Enfield 002D,100,,93,,107,,170,
Enfield 002E,96,,95,,126,,134,
Enfield 003B,109,,91,,147,,170,
Enfield 003C,101,,138,,146,,161,
Enfield 003D,93,,92,,99,,106,
Enfield 003E,74,,84,,118,,130,
Enfield 003F,73,,99,,125,,128,
Enfield 003G,82,,96,,97,,105,
Enfield 004A,37,,30,,39,,33,
Enfield 004B,27,,20,,19,,26,
Enfield 004C,53,,71,,83,,84,
Enfield 004D,21,,17,,23,,21,
Enfield 004E,91,,83,,98,,91,
Enfield 005A,48,,45,,51,,47,
Enfield 005B,92,,105,,106,,138,
Enfield 005C,119,,125,,141,,135,
Enfield 005D,87,,73,,85,,107,
Enfield 005E,40,,31,,52,,52,
Enfield 006A,87,,105,,139,,167,
Enfield 006B,84,,103,,125,,125,
Enfield 006C,117,,104,,126,,125,
Enfield 006D,118,,120,,159,,174,
Enfield 006E,89,,103,,111,,137,
Enfield 007A,89,,119,,121,,119,
Enfield 007B,62,,45,,64,,105,
Enfield 007C,60,,71,,85,,90,
Enfield 007D,61,,87,,107,,127,
Enfield 007E,83,,68,,90,,97,
Enfield 008A,59,,59,,63,,58,
Enfield 008B,48,,39,,50,,42,
Enfield 008C,27,,26,,37,,43,
Enfield 008D,35,,28,,29,,25,
Enfield 008E,21,,28,,62,,49,
Enfield 009A,22,,22,,25,,28,
Enfield 009B,38,,37,,31,,45,
Enfield 009C,25,,18,,27,,40,
Enfield 009D,19,,14,,20,,20,
Enfield 010A,9,,20,,16,,24,
Enfield 010B,26,,17,,34,,25,
Enfield 010C,22,,13,,32,,26,
Enfield 010D,20,,22,,35,,32,
Enfield 010E,13,,16,,25,,31,
Enfield 011A,47,,47,,58,,53,
Enfield 011B,20,,21,,8,,20,
Enfield 011C,50,,47,,33,,45,
Enfield 011D,9,,13,,17,,16,
Enfield 012A,79,,87,,109,,133,
Enfield 012B,111,,113,,131,,139,
Enfield 012C,82,,116,,109,,127,
Enfield 012D,97,,77,,115,,138,
Enfield 012E,134,,127,,162,,200,
Enfield 012F,75,,96,,102,,113,
Enfield 013A,29,,27,,35,,31,
Enfield 013B,32,,22,,22,,30,
Enfield 013C,36,,36,,43,,50,
Enfield 013D,19,,18,,23,,19,
Enfield 014A,140,,154,,178,,187,
Enfield 014B,109,,100,,111,,84,
Enfield 014C,77,,64,,118,,167,
Enfield 014D,51,,44,,66,,77,
Enfield 015A,18,,41,,26,,21,
Enfield 015B,48,,51,,60,,74,
Enfield 015C,37,,40,,70,,87,
Enfield 015D,35,,49,,58,,70,
Enfield 015E,109,,98,,137,,176,
Enfield 016A,21,,26,,31,,49,
Enfield 016B,70,,57,,66,,64,
Enfield 016C,54,,52,,70,,71,
Enfield 016D,69,,42,,73,,70,
Enfield 016E,53,,54,,49,,58,
Enfield 016F,37,,54,,47,,45,
Enfield 017A,25,,17,,21,,24,
Enfield 017B,17,,21,,10,,11,
Enfield 017C,25,,23,,19,,16,
Enfield 017D,23,,25,,34,,30,
Enfield 018A,99,,88,,101,,133,
Enfield 018B,101,,89,,115,,189,
Enfield 018C,55,,76,,90,,140,
Enfield 018D,79,,99,,84,,142,
Enfield 018E,71,,68,,71,,95,
Enfield 019A,59,,44,,40,,37,
Enfield 019B,38,,43,,47,,51,
Enfield 019C,30,,34,,32,,41,
Enfield 019D,44,,40,,54,,62,
Enfield 019E,19,,20,,11,,22,
Enfield 020A,48,,50,,58,,66,
Enfield 020B,54,,57,,59,,86,
Enfield 020C,63,,62,,46,,74,
Enfield 020D,60,,70,,82,,94,
Enfield 020E,26,,29,,28,,48,
Enfield 021A,29,,29,,24,,13,
Enfield 021B,28,,28,,34,,26,
Enfield 021C,13,,18,,16,,14,
Enfield 021D,28,,26,,48,,55,
Enfield 021E,25,,29,,29,,41,
Enfield 021F,39,,28,,41,,33,
Enfield 022A,7,,6,,5,,11,
Enfield 022B,27,,15,,15,,19,
Enfield 022C,8,,8,,7,,7,
Enfield 022D,16,,6,,7,,6,
Enfield 022E,13,,33,,43,,56,
